GW,Points,Bench,GW Rank,Transfers,Hits,Total Points,Overall Rank,Team Value,Chip,Top10k Avg,Overall Avg
2,37,11,3858351,0,0,37,5796344,100.1,,40.27,39.3
3,54,13,1483310,0,0,91,5498124,100.2,,44.57,42.82
4,85,5,192398,2,0,176,4592530,100.2,,53.44,56.01
5,61,13,1627163,1,0,237,4074342,100.7,,51.55,51.43
6,54,6,2913924,0,0,291,3848272,100.7,Wildcard,51.97,51.94
7,63,3,845229,1,0,354,3187293,101.3,,50.34,50.5
8,27,2,5616425,0,0,381,3636234,101.4,,37.36,35.94
9,34,0,4361654,2,0,415,3745178,101.6,,35.81,36.22
10,34,1,6179083,2,-4,445,4417425,101.3,,55.27,49.4
11,81,9,394880,1,0,526,3280935,101.3,,64.06,53.86
12,44,5,4146122,1,0,570,3373235,101.2,,64.1,48.2
13,59,12,1826643,1,0,629,2996373,101.5,,63.1,49.31
14,75,10,260222,1,0,704,2210061,101.7,,49.56,50.52
15,55,3,2499995,1,0,759,2127502,102,,58.13,49.31
16,74,2,661415,1,0,833,1675188,102.8,,62.92,55.02
17,67,2,1710931,1,0,900,1471961,103.2,,60.88,56.27
18,41,10,3024508,1,0,941,1515912,103.5,,44.84,38.76
19,64,1,1105781,1,0,1005,1235378,103.7,,52.74,49.48
20,48,0,5006581,1,0,1053,1442899,103.9,,55.82,54.53
21,61,11,1133557,1,0,1114,1273216,104.1,,55.55,48.93
22,80,6,367803,1,0,1194,911322,104,,62.39,57.04
23,40,19,4580246,1,0,1234,996688,104.3,,45.84,44.66
24,61,3,2087522,0,0,1295,946418,104.6,Free Hit,62.19,54.04
25,24,10,7184626,2,-4,1315,1464600,104.2,,58.06,44.98
26,48,11,5624182,2,-4,1359,1752711,104.1,,61.42,57.26
27,44,8,4025837,1,0,1403,1807738,103.9,,53.94,45.85
28,41,2,695484,1,0,1444,1588244,103.6,,33.28,26.14
29,45,9,4958986,1,0,1489,1756025,104.1,,55.2,51.6
30,0,0,6965276,2,-4,1485,1820350,103.8,,-0.14,0
